candidate,ID,title,url,date,sentiment_score,sentiment_type
Donald+Trump,MjczMzc5MjkwM3wxNDY4OTMxMzYx,What a Donald Trump economy might look like,http://www.cbsnews.com/news/what-a-donald-trump-economy-might-look-like/,7/19/16,-0.214018002,negative
Donald+Trump,MjkwOTQwNjEyMHwxNDY4OTMxMTAw,Former presidential candidate Dr. Ben Carson rallies Florida delegation behind Donald Trump,http://www.cleveland.com/rnc-2016/index.ssf/2016/07/former_presidential_candidate.html,7/19/16,-0.185507998,negative
Donald+Trump,MjcxMDAzNjg0NnwxNDY4OTI5MDI4,Donald Trump's challenges with young voters,http://www.cbsnews.com/news/donald-trump-challenges-from-republican-party-young-delegates-millennials/,7/19/16,-0.624400973,negative
Donald+Trump,MjY4NTEzMzM0MHwxNDY4OTI2MDUy,Why Donald Trump Poses a Threat to Conservative Criminal-Justice Reform,http://www.theatlantic.com/politics/archive/2016/07/the-precarious-position-of-the-new-gop-orthodoxy-on-crime/491735/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TheAtlantic+%28The+Atlantic+-+Master+Feed%29,7/19/16,-0.074783303,negative
Donald+Trump,MjY1MjI2NTQzNXwxNDY4OTIyODk2,Do we know enough about the health of presidential candidates Hillary Clinton and Donald Trump?,http://www.cbsnews.com//news/donald-trump-hillary-clinton-health-records-of-presidential-candidates/,7/19/16,-0.00498901,negative
Donald+Trump,MjY1NjQ0NzcyMnwxNDY4OTIyODk1,"Donald Trump in 1999: In politics, it ""could be a minus"" to have a beautiful wife",http://www.cbsnews.com//news/donald-trump-in-1999-in-politics-it-could-be-a-minus-to-have-a-beautiful-wife/,7/19/16,0.00135214,positive
Donald+Trump,MjY1NjQ2Mjc0MXwxNDY4OTIyODkz,Where Donald Trump and Hillary Clinton stand on key economic issues,http://www.cbsnews.com//news/republican-convention-donald-trump-hillary-clinton-economic-issues/,7/19/16,-0.351164013,negative
Donald+Trump,MjY2MDUwMDc1OXwxNDY4OTIyODQx,Melania Trump speech paints a 'kind and fair' Donald Trump,http://www.msn.com/en-us/news/politics/melania-trump-speech-paints-a-kind-and-fair-donald-trump/ar-BBuuksU,7/19/16,0.369078994,positive
Donald+Trump,MjY0MzI2NjEzMXwxNDY4OTIwMzY1,Where Donald Trump and Hillary Clinton stand on key economic issues,http://www.cbsnews.com/news/republican-convention-donald-trump-hillary-clinton-economic-issues/,7/19/16,-0.351164013,negative
Donald+Trump,MjYxMDg3MTIzOXwxNDY4OTE4NDk5,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1454150,7/19/16,0.148986995,positive
Donald+Trump,MjYxNDI5NTYwOHwxNDY4OTE4MzY0,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/18024,7/19/16,0.146268994,positive
Donald+Trump,Mjc2MTQ3NDI0NnwxNDY4OTE1ODAw,Melania Trump speech to RNC 2016: Donald Trump campaign responds to plagiarism allegations,http://www.al.com/news/index.ssf/2016/07/melania_trump_campaign_speech.html,7/19/16,-0.293998003,negative
Donald+Trump,MjU1NDgzODU0OHwxNDY4OTEzNzgw,Hillary Clinton unleashes on Donald Trump: He is the most dangerous man to ever run for president,http://www.msn.com/en-au/news/world/hillary-clinton-unleashes-on-donald-trump-he-is-the-most-dangerous-man-to-ever-run-for-president/ar-BBuu52y,7/19/16,-0.350171,negative
Donald+Trump,MjY3MTEwODg5NnwxNDY4OTA5NTAw,"RNC 2016: Despite the elite, the Donald Trump candidacy is going along swimmingly | Mulshine",http://www.nj.com/opinion/index.ssf/2016/07/rnc_2016_despite_the_party_elite_the_donald_trump.html,7/19/16,-0.170220003,negative
Donald+Trump,MjUwODk4MDIxNXwxNDY4OTA2ODE2,Melania Trump speech paints a 'kind and fair' Donald Trump,http://www.msn.com/en-gb/news/world/melania-trump-speech-paints-a-kind-and-fair-donald-trump/ar-BBusMNN?srcref=rss,7/19/16,0.351027012,positive
Donald+Trump,MjQ4NDc1NjA4NnwxNDY4OTA1MzUw,Rudy Giuliani: Donald Trump will do for America what I did for New York City,http://www.msn.com/en-us/news/us/rudy-giuliani-donald-trump-will-do-for-america-what-i-did-for-new-york-city/ar-BBuu8qO,7/19/16,-0.442108989,negative
Donald+Trump,MjQ4NjYyMTU2N3wxNDY4OTA0NjU0,Melania Trump speech paints a 'kind and fair' Donald Trump,http://www.msn.com/en-us/news/politics/melania-trump-speech-paints-a-kind-and-fair-donald-trump/ar-BBut534,7/19/16,0.300550997,positive
Donald+Trump,MjQ4ODM3NjE0OXwxNDY4OTA0NTI4,Donald Trump's ghostwriter calls him a 'sociopath',http://www.msn.com/en-nz/news/world/donald-trumps-ghostwriter-calls-him-a-sociopath/ar-BButP5G?srcref=rss,7/19/16,-0.061028902,negative
Donald+Trump,MjY1NzMxMTc1NXwxNDY4OTAzODAw,"Republican National Convention 2016: Day 2 speakers, Paul Ryan, Tiffany Trump, Donald Trump Jr.",http://www.al.com/news/index.ssf/2016/07/republican_national_convention_2.html,7/19/16,0.061843898,positive
Donald+Trump,MjQ3MDM5MTEwOXwxNDY4OTAzNTU5,Why Nick Cannon Wonâ€™t Be Voting for Hillary Clinton or Donald Trump,https://www.yahoo.com/celebrity/why-nick-cannon-wont-be-voting-for-hillary-042134134.html,7/19/16,0.507683992,positive
Donald+Trump,MjQ2NjI5NDM3MHwxNDY4OTAzMTM5,VIDEO: This is Donald Trump's (very) grand entrance to the RNC in Cleveland,https://www.yahoo.com/news/video-donald-trumps-very-grand-030448819.html?ref=gs,7/19/16,0.290600002,positive
Donald+Trump,MjQ2NDI3NjM4OXwxNDY4OTAyOTUx,Donald Trump: 'Look at my African-American over here',http://www.politico.com/video/2016/06/donald-trump-look-at-my-african-american-over-here-059024,7/19/16,-0.092867903,negative
Donald+Trump,MjQ2ODA5MTY2OHwxNDY4OTAyODEx,"Queen's Brian May Wants Donald Trump to Stop Using ""We Are the Champions"" at Events",https://www.yahoo.com/news/queens-brian-may-wants-donald-trump-stop-using-161928723.html?utm_source=dlvr.it&utm_medium=twitter&ref=gs,7/19/16,0.0512124,positive
Donald+Trump,MjQ1MjU5MTU5NHwxNDY4OTAyMTMz,Donald Trump Appoints â€˜Apprenticeâ€™ Star Omarosa Manigault as Director of African-American Outreach for His Campaign,https://www.yahoo.com/celebrity/donald-trump-appoints-ex-apprentice-021616369.html?utm_source=dlvr.it&utm_medium=twitter,7/19/16,0.127198994,positive
Donald+Trump,MjQ1MTQwMjY0NXwxNDY4OTAxNjA5,Melania Trump speech paints a 'kind and fair' Donald Trump - Breitbart,http://www.breitbart.com/news/melania-trump-speech-paints-a-kind-and-fair-donald-trump/,7/19/16,0.306389004,positive
Donald+Trump,MjQ1MDUwMjAzOXwxNDY4OTAxNDk4,Donald Trump and Mike Penceâ€™s Awkward First Interview Together,https://www.yahoo.com/tv/donald-trump-and-mike-pences-awkward-first-065929556.html,7/19/16,0.0091802,positive
Donald+Trump,MjQ1NDg3Nzk4NXwxNDY4OTAxNDAz,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1488350,7/19/16,0.148165002,positive
Donald+Trump,MjQ0ODc0NDMzMHwxNDY4OTAwNjk3,Donald Trump's dramatic RNC entrance,http://www.cbsnews.com/videos/donald-trumps-dramatic-rnc-entrance/,7/18/16,-0.159696996,negative
Donald+Trump,MjQ0MDY1NDI2M3wxNDY4OTAwNDI3,Donald Trump Introduces Wife Melania on Stage at RNC,http://www.wsj.com/video/donald-trump-introduces-wife-melania-on-stage-at-rnc/9DDD57F6-21BF-4734-AE8B-48A88E969CDF.html,7/18/16,-0.165298,negative
Donald+Trump,MjQyODA0MDI2MHwxNDY4ODk5NDA2,Melania Trump speech paints a 'kind and fair' Donald Trump,https://www.yahoo.com/news/melania-trump-speech-paints-kind-030044576.html?utm_source=dlvr.it&utm_medium=twitter&ref=gs,7/18/16,-0.031453699,negative
Donald+Trump,MjQzMjQyMzg2MXwxNDY4ODk4ODU2,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1488335,7/18/16,0.146888003,positive
Donald+Trump,MjQzMDg2NTcwOXwxNDY4ODk4ODU1,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1488357,7/18/16,0.144186005,positive
Donald+Trump,MjQzMDg0NDg5MHwxNDY4ODk4ODU0,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1488342,7/18/16,0.142336994,positive
Donald+Trump,MjQyMzE1ODk1MnwxNDY4ODk4Nzkw,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/64637,7/18/16,0.142177999,positive
Donald+Trump,MjQxOTc2OTU1MnwxNDY4ODk4Mzkx,WATCH: Donald Trump makes entrance at Republican National Convention,https://www.yahoo.com/news/watch-donald-trump-makes-entrance-023610025.html,7/18/16,-0.131143004,negative
Donald+Trump,MjQyOTM0NTI5NXwxNDY4ODk4Mzcy,"RNC Day 1: Melania Trump, Donald Trump & More | Billboard",http://www.billboard.com/articles/news/7439189/rnc-day-1-donald-trump-melania-trump-scott-baio,7/18/16,-0.297643006,negative
Donald+Trump,MjQyNTA5MTM0NnwxNDY4ODk4MTcw,This Donald Trump PiÃ±ata Was a 'Yuge' Hit at Kennedy Compound 4th of July Party,https://www.yahoo.com/celebrity/donald-trump-pi-ata-yuge-184509848.html,7/18/16,-0.077819802,negative
Donald+Trump,MjQyNDQzMDUyOXwxNDY4ODk4MDk5,Donald Trump introduces Melania Trump at the RNC,https://www.yahoo.com/news/donald-trump-introduces-melania-trump-024510905.html,7/18/16,0.681424975,positive
Donald+Trump,MjQxNjcyODExNHwxNDY4ODk4MDc1,Clinton: Donald Trump is dangerous,http://www.cbsnews.com/videos/clinton-donald-trump-is-dangerous/,7/18/16,-0.197956994,negative
Donald+Trump,MjQxMzc0OTg0N3wxNDY4ODk4MDI1,Melania Trump speech paints a 'kind and fair' Donald Trump,http://www.msn.com/en-ca/news/politics/melania-trump-speech-paints-a-kind-and-fair-donald-trump/ar-BBuu4en,7/18/16,0.319981992,positive
Donald+Trump,MjQxMTY2Njk4MnwxNDY4ODk3ODM3,Ex-'Apprentice' Star Omarosa Named Donald Trump's Director of African-American Outreach,https://www.yahoo.com/news/ex-apprentice-star-omarosa-named-donald-trumps-director-235922311.html?utm_source=dlvr.it&utm_medium=twitter&ref=gs,7/18/16,-0.022031499,negative
Donald+Trump,MjQxNjg5NjgzNnwxNDY4ODk3MzI1,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1484201,7/18/16,0.148259997,positive
Donald+Trump,MjQwNjYyMDcwNXwxNDY4ODk3MzIw,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1488359,7/18/16,0.151319996,positive
Donald+Trump,MjQxNjYwMDc0NHwxNDY4ODk3MTQw,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/38403,7/18/16,0.142872006,positive
Donald+Trump,MjQwMjA1MjIyMnwxNDY4ODk2NjI2,Donald Trump-Mike Pence Interview on '60 Minutes': 5 Awkward Moments,https://www.yahoo.com/digest/20160718-M0600/donald-trump-mike-pence-interview-60-minutes-5-awkward-moments-11185004,7/18/16,-0.0677303,negative
Donald+Trump,MjM5OTQ3NTU3MXwxNDY4ODk2NTc2,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/1484233,7/18/16,0.147231996,positive
Donald+Trump,MjM5ODk4NTYzN3wxNDY4ODk2NTEy,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/22284,7/18/16,0.147910997,positive
Donald+Trump,MjQwMDk3OTA2NXwxNDY4ODk2NTA5,Donald Trump,http://www.tvguide.com/celebrities/donald-trump/photos/194141/82551,7/18/16,0.14858,positive
Donald+Trump,MjM5MDU1NDIyMXwxNDY4ODk1NDk0,"Donald Trump arrives at the Republican National Convention, says 'we're going to win, we're going to win so big'",https://www.yahoo.com/news/donald-trump-arrives-republican-national-convention-says-were-022319725--election.html?utm_source=twitterfeed&utm_medium=twitter&ref=gs,7/18/16,0.0153438,positive
Donald+Trump,MjM4MjQ4NjExNXwxNDY4ODk0Nzk5,Donald Trump discusses Black Lives Matter,http://www.cbsnews.com/videos/donald-trump-discusses-black-lives-matter/,7/18/16,-0.229067996,negative
Donald+Trump,MjM3ODg2NTAxOXwxNDY4ODk0MDY1,Even some liberals fear Donald Trump's Ohio appeal,https://www.yahoo.com/news/even-liberals-fear-donald-trumps-090000249.html,7/18/16,0.0360278,positive
Donald+Trump,MjM3MzA2NzQxM3wxNDY4ODkzMzAy,Comparing the honesty of Donald Trump and Hillary Clinton,http://www.cbsnews.com/videos/comparing-the-honesty-of-donald-trump-and-hillary-clinton/,7/18/16,-0.218241006,negative
Donald+Trump,MjM4MzI3MjI3OXwxNDY4ODkzMzAx,Did Donald Trump undercut the RNC?,http://www.cbsnews.com/videos/did-donald-trump-undercut-the-rnc/,7/18/16,-0.137436002,negative
Donald+Trump,MjM3Mzg4MDM4NXwxNDY4ODkyMzYw,Donald Trumpâ€™s Running Mate Once Argued That Disneyâ€™s â€œMulanâ€ù Was Feminist Propaganda,https://www.yahoo.com/style/donald-trump-running-mate-once-082646083.html?soc_src=social-sh&soc_trk=tw,7/18/16,0.031329501,positive
Donald+Trump,MjM0Nzg0NDU2NHwxNDY4ODkwNDU1,Actor Scott Baio supports Donald Trump at RNC,https://www.yahoo.com/news/actor-scott-baio-supports-donald-005214219.html?soc_src=social-sh&soc_trk=tw,7/18/16,-0.170411006,negative
Donald+Trump,MjM0NDI5ODM2NnwxNDY4ODkwMTk3,Antonio Sabato Jr. Doesnâ€™t Care if Supporting Donald Trump Hurts His Career,https://www.yahoo.com/movies/antonio-sabato-jr-doesn-t-care-supporting-donald-232232716.html,7/18/16,0.078290202,positive
Donald+Trump,MjM1MjQ0MDM3MHwxNDY4ODkwMTU3,"Chachi Loves Donny: Actor Scott Baio proclaims in RNC speech, â€˜We need Donald Trumpâ€™",https://www.yahoo.com/news/chachi-loves-donny-actor-scott-baio-proclaims-in-rnc-speech-we-need-donald-trump-010123283.html,7/18/16,-0.179741994,negative
Donald+Trump,MjM0OTg3MTg5MHwxNDY4ODg5ODMy,Meet the General Supporting Donald Trump at the RNC,http://time.com/4411699/rnc-general-michael-flynn-donald-trump/?xid=tcoshare,7/18/16,-0.467227012,negative
Donald+Trump,MjMyODQ0MzI5M3wxNDY4ODg4MTU2,Meet the Navy SEAL Speaking In Support of Donald Trump at the RNC,http://time.com/4411598/marcus-luttrell-rnc-donald-trump/,7/18/16,-0.165273994,negative
Donald+Trump,MzE5NDA0NDM4MHwxNDY4ODg2NDAw,Update on: Republican National Convention 2016 live updates: Donald Trump is officially the Republican nominee for president,http://www.latimes.com/nation/politics/trailguide/la-na-republican-convention-2016-live-1468970023-htmlstory.html,7/18/16,0.094949096,positive
Donald+Trump,MzE5MjcxNjY1NnwxNDY4ODg2NDAw,Itâ€™s official: Donald Trump is no longer just the â€œpresumptiveâ€ù 2016 Republican presidential nominee,http://www.salon.com/2016/07/19/its_official_donald_trump_is_no_longer_just_the_presumptive_2016_republican_presidential_nominee/?utm_source=twitter&utm_medium=socialflow,7/18/16,0.253987014,positive
Donald+Trump,MzE5MDA1NTAzMnwxNDY4ODg2NDAw,Donald Trump has officially become the GOP nominee for president,http://www.cnbc.com/2016/07/19/donald-trump-has-officially-become-the-gop-nominee-for-president.html,7/18/16,0.165702999,positive
Donald+Trump,MzE4OTI2ODk3OXwxNDY4ODg2NDAw,Donald Trump Jr.: Speechwriters To Blame For Melania Speech Cribbing Of First Lady's Address,http://deadline.com/2016/07/donald-trump-jr-speechwriters-plagiarized-melania-speech-michelle-obama-1201789060/,7/18/16,-0.369677007,negative
Donald+Trump,MzEyOTgyMjgwOHwxNDY4ODg2NDAw,30 celebrities who love and endorse Donald Trump,http://www.sfgate.com/technology/businessinsider/article/A-look-back-at-Donald-Trump-s-most-legendary-6533137.php,7/18/16,0.0496246,positive
